title,category,url,days_old
"'Toxic' No 10 culture harmed Covid response, inquiry finds",politics,https://www.bbc.com/news/articles/c986821m604o?at_medium=RSS&at_campaign=rss,6
The Crypto Industry’s $28 Billion in ‘Dirty Money’,tech,https://www.nytimes.com/2025/11/17/technology/crypto-exchanges-dirty-money.html,4
BBC confronts ex-Reform politician over pro-Russian bribes,politics,https://www.bbc.com/news/videos/c2087gnlgevo?at_medium=RSS&at_campaign=rss,6
Will AI mean better adverts or 'creepy slop'?,business,https://www.bbc.com/news/articles/ckg4y4z169go?at_medium=RSS&at_campaign=rss,7
This bat fossil could fill in a piece of the evolutionary puzzle,health,https://www.cnn.com/2023/04/13/americas/oldest-known-bat-fossils-reveal-new-species-scn/index.html,5
"As Sanctions on Russian Oil Loom, India Prepares to End Its Buying Spree",business,https://www.nytimes.com/2025/11/20/business/india-russia-oil-sanctions.html,5
The complications of dating with endometriosis,health,https://www.bbc.com/news/videos/cwy1lwwp280o?at_medium=RSS&at_campaign=rss,3
Paper airplane breaks a world distance record,health,https://www.cnn.com/2023/04/14/world/paper-airplane-boeing-engineers-world-record-scn/index.html,7
Botox was like going for coffee - but I had no idea if it was genuine,health,https://www.bbc.com/news/articles/c797vq95zzyo?at_medium=RSS&at_campaign=rss,4
'Taxes are going up' - BBC decodes Reeves's pre-Budget speech,politics,https://www.bbc.com/news/videos/cpd2yx6v687o?at_medium=RSS&at_campaign=rss,1
What made Pelé so great,sports,https://www.cnn.com/2022/12/30/football/what-made-pele-great-spt-intl/index.html,5
What a UK government led by Reform would really look like,politics,https://www.bbc.com/news/articles/cm2kyjrg77eo?at_medium=RSS&at_campaign=rss,0
Henry Zeffman: Efforts to shore up Starmer's leadership may have backfired,politics,https://www.bbc.com/news/articles/cz7p5zdlny5o?at_medium=RSS&at_campaign=rss,6
KitchenAid Promo Code: $250 Off in November 2025,tech,https://www.wired.com/story/exclusive-kitchenaid-promo-code/,0
The South African start-up bringing tech to townships,tech,https://www.bbc.com/news/videos/c2310jkr9y9o?at_medium=RSS&at_campaign=rss,6
Why an AI 'godfather' is quitting Meta after 12 years,tech,https://www.bbc.com/news/articles/cdx4x47w8p1o?at_medium=RSS&at_campaign=rss,0
Politicians rarely comment on the royals. That could all change after the Andrew saga,politics,https://www.bbc.com/news/articles/c2emj9r4j22o?at_medium=RSS&at_campaign=rss,5
'I missed a £100 council tax bill while in hospital – the debt ballooned to £6k',health,https://www.bbc.com/news/articles/cn43439n4xxo?at_medium=RSS&at_campaign=rss,4
The Climate Impact of Owning a Dog,tech,https://www.wired.com/story/the-climate-paradox-of-having-a-dog/,1
"11 Best Smartwatches (2025): Apple, Wear OS, Hybrid & Kids’ Watches",tech,https://www.wired.com/gallery/best-smartwatches/,2
Vinted blocks 'sickening' sexually explicit ads,tech,https://www.bbc.com/news/articles/cn515p22nxno?at_medium=RSS&at_campaign=rss,3
How do cold weather health alerts work?,health,https://www.bbc.com/news/articles/cd97dkx9g38o?at_medium=RSS&at_campaign=rss,3
OpenAI Locks Down San Francisco Offices Following Alleged Threat From Activist,tech,https://www.wired.com/story/openai-office-lockdown-threat-san-francisco/,2
Large UK-wide pandemic preparedness tests planned this year,health,https://www.bbc.com/news/articles/cj910k8g4l0o?at_medium=RSS&at_campaign=rss,5
Union and government to restart talks on ending doctor dispute,health,https://www.bbc.com/news/articles/c8jp9n928wko?at_medium=RSS&at_campaign=rss,5
Everything you need to know about the Budget,politics,https://www.bbc.com/news/articles/cj4w44w42j5o?at_medium=RSS&at_campaign=rss,4
Where does mudslinging over leadership leave Starmer's government?,politics,https://www.bbc.com/news/articles/c5yl60yp9g6o?at_medium=RSS&at_campaign=rss,7
"Judge me at next election, Starmer tells doubters",politics,https://www.bbc.com/news/articles/cwyp4gvn1v4o?at_medium=RSS&at_campaign=rss,0
NFL coach controversy: 'It's not about race. It's about finding quality coaches',sports,https://www.cnn.com/2023/01/10/sport/nfl-lovie-smith-diversity/index.html,4
The high tech studio transforming movie car stunts,tech,https://www.bbc.com/news/videos/cy8vez7v95po?at_medium=RSS&at_campaign=rss,3
The Briefing Room,business,https://www.bbc.co.uk/sounds/play/m002m0ff?at_medium=RSS&at_campaign=rss,5
Businesses are running out of pennies in the US,business,https://www.bbc.com/news/articles/c20556ly45eo?at_medium=RSS&at_campaign=rss,7
How close were hospitals to collapse in Covid?,health,https://www.bbc.com/news/articles/c78dl0xv7y2o?at_medium=RSS&at_campaign=rss,1
Damar Hamlin has been released after spending more than a week hospitalized due to a cardiac arrest,sports,https://www.cnn.com/2023/01/11/sport/damar-hamlin-buffalo-bills-hospital-release-spt/index.html,6
Labour's plan for benefits throws up a bigger dilemma,health,https://www.bbc.com/news/articles/cvgev3dvz3jo?at_medium=RSS&at_campaign=rss,2
Cloudflare apologises for outage which took down X and ChatGPT,tech,https://www.bbc.com/news/articles/c629pny4gl7o?at_medium=RSS&at_campaign=rss,0
"Saudi Arabia’s Prince Has Big Plans, but His Giant Fund Is Low on Cash",business,https://www.nytimes.com/2025/11/19/business/pif-saudi-arabia-fund-problems.html,0
Is the most expensive lip balm always the best?,health,https://www.bbc.co.uk/bitesize/articles/zswkfdm?at_medium=RSS&at_campaign=rss,4
"Instead of Fitbit’s AI Health Coach, You Could Just Have Friends",tech,https://www.wired.com/story/google-fitbit-health-coach-preview/,3
We Can Now Track Individual Monarch Butterflies. It’s a Revelation.,tech,https://www.nytimes.com/2025/11/17/science/monarch-butterfly-migration-tracking-sensor.html,3
"Best Bird Feeders With Cameras, Tested and Reviewed (2025)",tech,https://www.wired.com/story/best-smart-bird-feeders/,2
Doctors' union agrees to resume talks with Streeting,health,https://www.bbc.com/news/articles/cdrkdp3xy17o?at_medium=RSS&at_campaign=rss,0
How caffeine can help you manage headaches and other tips,health,https://www.bbc.com/news/articles/cgr44j201rzo?at_medium=RSS&at_campaign=rss,1
Facebook doesn't think hackers accessed third-party sites,business,http://money.cnn.com/2018/10/02/technology/facebook-hack-third-party/index.html?section=money_topstories,0
RFK Jr. Says He Instructed CDC to Change Vaccines and Autism Language on Website,health,https://www.nytimes.com/2025/11/21/us/politics/rfk-jr-cdc-vaccines-autism-website.html,5
U.S. and Ukrainian Officials to Meet Again on U.S. Peace Plan,politics,https://www.nytimes.com/2025/11/22/us/politics/us-ukraine-peace-plan.html,3
Zach Johnson isn't discounting Tiger Woods for the Ryder Cup,sports,https://www.cnn.com/2023/01/12/golf/tiger-woods-zach-johnson-ryder-cup-intl-spt/index.html,3
There Is Only One AI Company. Welcome to the Blob,tech,https://www.wired.com/story/ai-industry-monopoly-nvidia-microsoft-google/,5
The Best Red Light Therapy Mask You Can Buy Is Currently on Sale,tech,https://www.wired.com/story/best-current-body-black-friday-deals-2025/,6
Senators Want Extremism Researchers to Surrender Documents Linked to Right-Wing Grudges,tech,https://www.wired.com/story/senators-want-extremism-researchers-to-surrender-documents-linked-to-right-wing-grudges/,1
Fishing group 'devastated' after container fire,health,https://www.bbc.com/news/articles/c20167pqdn9o?at_medium=RSS&at_campaign=rss,0
Self-Driving Taxis Are Catching On. Are You Ready?,tech,https://www.nytimes.com/2025/11/18/technology/personaltech/zoox-driverless-taxis-san-francisco.html,3
"What you should know if there's no sexual attraction for your partner, according to a therapist",health,https://www.cnn.com/2022/11/08/health/sexual-attraction-importance-in-partner-wellness/index.html,4
Total Wireless Promo Codes & Deals: 50% Off Select Plans,tech,https://www.wired.com/story/total-wireless-promo-code/,2
Covid inquiry told top NHS doctor was terrified,health,https://www.bbc.com/news/articles/cd0gdzdv53yo?at_medium=RSS&at_campaign=rss,6
Voters react to MP's surprise offer to Burnham,politics,https://www.bbc.com/news/articles/c8676eve400o?at_medium=RSS&at_campaign=rss,1
Ford boss: 'Now is not the time to tax electric vehicles',tech,https://www.bbc.com/news/articles/c5yp1ky55g1o?at_medium=RSS&at_campaign=rss,4
"Meta Did Not Violate the Law When It Bought Instagram and WhatsApp, a Judge Rules",tech,https://www.nytimes.com/2025/11/18/technology/meta-antitrust-monopoly-ruling.html,7
Walmart Sales Rise as Shoppers Look For Savings,business,https://www.nytimes.com/2025/11/20/business/walmart-holiday-sales.html,7
The 65 Best Deals From REI’s 2025 Holiday Sale,tech,https://www.wired.com/story/rei-holiday-sale-nov-2025/,6
The Egyptian green tech firm looking to cut energy bills,tech,https://www.bbc.com/news/videos/cy0kzlwpl1go?at_medium=RSS&at_campaign=rss,7
Starmer 'playing whack-a-mole' to keep US on side - but will it be enough?,politics,https://news.sky.com/story/starmer-playing-whack-a-mole-to-keep-us-on-side-but-will-it-be-enough-13474045,3
Did Nvidia Do Enough to Chill A.I. Bubble Fears?,business,https://www.nytimes.com/2025/11/20/business/dealbook/nvidia-ai-boom.html,2
TikTok creator 'so sorry' over cancer diagnosis lie,health,https://www.bbc.com/news/articles/c1e3ygwy77yo?at_medium=RSS&at_campaign=rss,2
"December Rate Cut in Doubt as Fed Fault Lines Deepen, Minutes Show",business,https://www.nytimes.com/2025/11/19/business/fed-minutes-interest-rates.html,7
A Swath of Bank Customer Data Was Hacked. The F.B.I. Is Investigating.,business,https://www.nytimes.com/2025/11/22/business/bank-data-hack.html,3
S&P downgrades debt-riddled GE and GE Capital,business,http://money.cnn.com/2018/10/02/investing/general-electric-downgrade-debt/index.html?section=money_topstories,5
Hands On With Google’s Nano Banana Pro Image Generator,tech,https://www.wired.com/story/google-nano-banana-pro-hands-on/,4
EastEnders' Kellie Bright on the challenges of being parent of an autistic child,health,https://www.bbc.com/news/articles/c0jqy8pn275o?at_medium=RSS&at_campaign=rss,2
"In the House, Censures Proliferate, Reflecting a Poisonous Climate",politics,https://www.nytimes.com/2025/11/22/us/politics/house-censures.html,2
Delayed Jobs Data to Give Snapshot of a Labor Market Under Stress,business,https://www.nytimes.com/live/2025/business/jobs-report-economy/jobs-data-labor-market,7
SoftBank and Toyota want driverless cars to change the world,business,http://money.cnn.com/2018/10/04/technology/softbank-toyota-masa-son/index.html?section=money_topstories,5
"One day of planning went into Covid school closures, inquiry hears",health,https://www.bbc.com/news/articles/c9dx6ey37y3o?at_medium=RSS&at_campaign=rss,0
"Sleep, exercise, hydrate - do we really need to stick to recommended daily doses?",health,https://www.bbc.com/news/articles/cwygy378nn1o?at_medium=RSS&at_campaign=rss,5
Crypto companies are trying to cash in at a really bad time,business,http://money.cnn.com/2018/09/27/technology/bitcoin-mining-ipo/index.html?section=money_topstories,7
MediaWorld Accidentally Sold iPads for €15 and Asked for Them Back: “It Was a Clear Mistake”,tech,https://www.wired.com/story/mediaworld-accidentally-sold-ipads-for-euro15-then-it-asked-for-them-back/,3
The battle is on for the Conservatives to show they matter,politics,https://www.bbc.com/news/articles/c864dzn827xo?at_medium=RSS&at_campaign=rss,7
Is the system letting down people who were harmed by Covid vaccines?,health,https://www.bbc.com/news/articles/c1d5d6nng67o?at_medium=RSS&at_campaign=rss,4
RFK Jr. Walks a Tightrope on Trump Deal for Obesity Drugs,health,https://www.nytimes.com/2025/11/14/health/rfkjr-obesity-drugs.html,6
Ketamine helped me escape my negative thoughts - then it nearly killed me,health,https://www.bbc.com/news/articles/c70r1xdyy59o?at_medium=RSS&at_campaign=rss,5
"Best Indoor TV Antenna (2025): Mohu, Clearstream, One for All",tech,https://www.wired.com/gallery/best-tv-antennas/,3
How Newsom and Trump Have Made California the Unlikely Center of 2025 Politics,politics,https://www.nytimes.com/2025/11/21/us/politics/newsom-trump-california-politics.html,3
Starmer refuses to rule out manifesto-breaking tax rises in budget,politics,https://news.sky.com/story/starmer-refuses-to-rule-out-manifesto-breaking-tax-rises-in-budget-13473641,1
Texas Measles Strain Continues to Spread,health,https://www.nytimes.com/2025/11/17/health/measles-us-elimination-status-outbreaks.html,3
AI vs superbugs: UK invests millions to tackle drug-resistant infections,health,https://www.bbc.com/news/articles/cp97ggrnn35o?at_medium=RSS&at_campaign=rss,7
Why the 5G symbol on your phone doesn't mean you have 5G,business,https://www.bbc.com/news/articles/crexqyj7n5lo?at_medium=RSS&at_campaign=rss,1
Tyson Foods to Shut Major Beef Facility in Nebraska,business,https://www.nytimes.com/2025/11/21/business/tyson-lexington-nebraska-closing.html,3
'Since having Covid my life has completely changed',health,https://www.bbc.com/news/articles/c62l6gxvpn2o?at_medium=RSS&at_campaign=rss,4
Gove apologises after Covid report alleges 'toxic' culture,politics,https://www.bbc.com/news/articles/c9qeglxwwx7o?at_medium=RSS&at_campaign=rss,7
Wheelchair? Hearing Aids? Yes. ‘Disabled’? No Way.,health,https://www.nytimes.com/2025/11/15/health/older-people-disability.html,5
Comey Seeks to Dismiss Charges Based on Grand Jury Errors,politics,https://www.nytimes.com/2025/11/21/us/politics/comey-halligan-dismiss-charges.html,5
Tennis star Naomi Osaka announces she is pregnant,sports,https://www.cnn.com/2023/01/11/tennis/naomi-osaka-pregnancy-tennis-spt-intl/index.html,2
Federal Suit Seeking Names of Some Jewish Employees at Penn Sparks Backlash,politics,https://www.nytimes.com/2025/11/21/us/eeoc-university-pennsylvania-antisemitism-jewish.html,4
Covid inquiry told Treasury blocked NHS bed request,health,https://www.bbc.com/news/articles/c4gpwz3qyr0o?at_medium=RSS&at_campaign=rss,4
"13 Best MagSafe Power Banks for iPhones (2025), Tested and Reviewed",tech,https://www.wired.com/gallery/best-magsafe-power-banks/,4
Streaming platform Twitch added to Australia's teen social media ban,tech,https://www.bbc.com/news/articles/cx2n2955g10o?at_medium=RSS&at_campaign=rss,4
Your kid having a hard time? Dr Becky has this tip,health,https://www.bbc.com/news/videos/cn515z7x44no?at_medium=RSS&at_campaign=rss,7
"Trump Calling Reporter ‘Piggy’ Was ‘Frankness,’ White House Says",business,https://www.nytimes.com/2025/11/20/business/media/trump-leavitt-reporter-piggy.html,3
Boris Johnson left Inquiry in a hurry - he'll be pleased not to come back,health,https://www.bbc.com/news/articles/cj6nennz0nyo?at_medium=RSS&at_campaign=rss,2
A $100 Million AI Super PAC Targeted New York Democrat Alex Bores. He Thinks It Backfired,tech,https://www.wired.com/story/alex-bores-andreessen-horowitz-super-pac-ai-regulation-new-york/,4
"Call of Duty is back, and it's got a battle on its hands",tech,https://www.bbc.com/news/articles/cy9pwgqvr7go?at_medium=RSS&at_campaign=rss,2
Formula 1 tech used to rev-up train wi-fi speeds in new pilot,tech,https://www.bbc.com/news/articles/cqjwkdez71ro?at_medium=RSS&at_campaign=rss,3
Growing up as young man 'not easy' says PM in letter to son,politics,https://www.bbc.com/news/articles/ckgkgnk7nyeo?at_medium=RSS&at_campaign=rss,1
New flu virus mutation could see 'worst season in a decade',health,https://www.bbc.com/news/articles/c2dr8gzdz1wo?at_medium=RSS&at_campaign=rss,6
Your nose gets colder when you're stressed. These thermal images show the change,health,https://www.bbc.com/news/articles/cj076ynnlpgo?at_medium=RSS&at_campaign=rss,1
A Computer Science Professor Invented the Emoticon After a Joke Went Wrong,tech,https://www.wired.com/story/a-computer-scientist-invented-the-emoticon-after-his-colleagues-misunderstood-sarcasm/,1
Lockdown could have been avoided - key findings from Covid inquiry,politics,https://www.bbc.com/news/articles/cpq1q49r08go?at_medium=RSS&at_campaign=rss,3
Covid inquiry hears of 'generational slaughter',health,https://www.bbc.com/news/articles/cy8kkxn20ddo?at_medium=RSS&at_campaign=rss,3
5 Live News Specials,health,https://www.bbc.co.uk/sounds/play/p0mhhzhv?at_medium=RSS&at_campaign=rss,4
Infant Formula Company Tied to Botulism Outbreak Had Known Problems,health,https://www.nytimes.com/2025/11/13/health/infant-formula-botulism.html,6
Non-smoker diagnosed with lung cancer at 37 demands 'urgent action',health,https://www.bbc.com/news/articles/clydlj9d50ro?at_medium=RSS&at_campaign=rss,6
September Jobs Report Injects More Uncertainty Into Fed’s December Decision,business,https://www.nytimes.com/2025/11/20/business/economy/jobs-report-september-inflation-fed-rates.html,3
Former Labour MP Lloyd Russell-Moyle joins Greens,politics,https://www.bbc.com/news/articles/c9v1vl2g7pno?at_medium=RSS&at_campaign=rss,0
Top Fed Official Boosts Odds of a December Rate Cut,business,https://www.nytimes.com/2025/11/21/business/fed-interest-rates-inflation-jobs.html,2
German nurse gets life in jail after murdering 10 to reduce workload,health,https://www.bbc.com/news/articles/cz0xgrv7543o?at_medium=RSS&at_campaign=rss,1
How my on-air 'brain fog' moment sparked a big debate,tech,https://www.bbc.com/news/articles/c4gpkenx9dzo?at_medium=RSS&at_campaign=rss,2
Family Affair: Commerce Secretary’s Sons Cash In on A.I. Frenzy,tech,https://www.nytimes.com/2025/11/20/us/politics/howard-lutnick-family-ai.html,4
Former Welsh Reform leader jailed for pro-Russia bribery,politics,https://www.bbc.com/news/articles/c5yd878ejqko?at_medium=RSS&at_campaign=rss,4
We Asked Roblox’s C.E.O. About Child Safety. It Got Tense.,tech,https://www.nytimes.com/2025/11/21/podcasts/hardfork-roblox-child-safety.html,4
AirDoctor Coupon Codes: 40% Off | November 2025,tech,https://www.wired.com/story/airdoctor-coupon-code/,4
Tech Now,tech,https://www.bbc.co.uk/iplayer/episode/m002mh8p?at_medium=RSS&at_campaign=rss,0
Why it's time for investors to go on the defense,business,http://money.cnn.com/2018/10/03/investing/markets-now-investing-defense/index.html?section=money_topstories,4
Marjorie Taylor Greene’s Resignation Hints at Divisions in Trump’s Movement,politics,https://www.nytimes.com/2025/11/22/us/politics/marjorie-taylor-greene-trump-republicans.html,7
Judge Places Hold on IRS Data Sharing With ICE,business,https://www.nytimes.com/2025/11/21/business/irs-ice-migrants-addresses.html,0
Sex Had Become a Chore. Then They Started Reading Romantasy.,health,https://www.nytimes.com/2025/11/17/well/romantasy-books-sex-intimacy.html,0
"UK did 'too little, too late', leading to thousands more Covid deaths - inquiry",health,https://www.bbc.com/news/articles/c8030xvvlv0o?at_medium=RSS&at_campaign=rss,3
How WhatsApp messages revealed ex-Reform politician's pro-Russian bribes,politics,https://www.bbc.com/news/articles/cn8vnv3dk0vo?at_medium=RSS&at_campaign=rss,1
Families failed by Covid jabs tell inquiry of pain,health,https://www.bbc.com/news/articles/c4gzleyydp8o?at_medium=RSS&at_campaign=rss,3
A Viral Chinese Wristband Claims to Zap You Awake. The Public Says 'No Thanks’,tech,https://www.wired.com/story/viral-chinese-wristband-claims-to-zap-you-awake/,3
"From feminist pioneers to putting pros, the historic journey of the world's oldest ladies golf club",sports,https://www.cnn.com/2023/01/10/golf/st-andrews-ladies-putting-club-spt-spc-intl/index.html,5
Starmer's political capital fading fast as he nears tax-raising budget,politics,https://news.sky.com/story/starmers-political-capital-fading-fast-as-he-nears-tax-raising-budget-13473684,4
What's behind Rachel Reeves's 'hokey cokey' on income tax rises?,politics,https://www.bbc.com/news/articles/cx2yzj6619wo?at_medium=RSS&at_campaign=rss,5
"The ex-Reform UK leader who took bribes, made pro-Russia speeches",politics,https://www.bbc.com/news/videos/cx23l0jlwx2o?at_medium=RSS&at_campaign=rss,5
"ADHD services shutting door to new NHS patients as demand soars, BBC finds",health,https://www.bbc.com/news/articles/c4gpl150ze4o?at_medium=RSS&at_campaign=rss,3
"Getting health insurance through work now costs nearly $20,000",business,http://money.cnn.com/2018/10/03/news/economy/employer-health-insurance-cost/index.html?section=money_topstories,7
Vapers overtake smokers for first time in Britain,health,https://www.bbc.com/news/articles/ceq0z9e2wwwo?at_medium=RSS&at_campaign=rss,7
Brazilian soccer star under investigation for alleged sexual assault,sports,https://www.cnn.com/2023/01/11/football/dani-alves-catalonia-higher-court-of-justice-spt-intl/index.html,6
Community freecycle event expands to third site,business,https://www.bbc.com/news/articles/crexe0v5jlro?at_medium=RSS&at_campaign=rss,2
"As crises pile up, can the Home Office be fixed?",politics,https://www.bbc.com/news/articles/c0mx83n8m29o?at_medium=RSS&at_campaign=rss,7
7 things to know before the bell,business,http://money.cnn.com/2018/10/04/investing/premarket-stocks-trading/index.html?section=money_topstories,7
MP tells Commons he was raped after night out,politics,https://www.bbc.com/news/articles/cwyp4w4jzpxo?at_medium=RSS&at_campaign=rss,7
Aston Martin falls 5% in its London IPO,business,http://money.cnn.com/2018/10/03/investing/aston-martin-ipo/index.html?section=money_topstories,1
These Beats Headphones Are Marked Down to $150 for Black Friday,tech,https://www.wired.com/story/beats-studio-pro-deal-1125/,7
"Thousands of French Brands Sue Shein, Accusing It of Unfair Competition",business,https://www.nytimes.com/2025/11/21/business/french-brands-sue-shein.html,2
"A.I. Toy Bear Speaks of Sex, Knives and Pills, Consumer Group Warns",tech,https://www.nytimes.com/2025/11/22/us/folotoy-ai-bear-suspended-explicit-advice.html,4
Daily Mail publisher agrees to buy Daily Telegraph for £500m,business,https://www.bbc.com/news/articles/cx2eg1w0n81o?at_medium=RSS&at_campaign=rss,5
The internet industry is suing California over its net neutrality law,business,http://money.cnn.com/2018/10/03/technology/california-net-neutrality-suit/index.html?section=money_topstories,3
